#City,#Cases,#Recovered,#Death
Alger,1402,261,145
Blida,1562,133,131
Sétif,1098,2,61
Batna,808,42,17
Oran,783,234,22
Constantine,557,0,25
AïnDefla,423,100,9
Ouargla,406,1,26
Tipaza,397,0,37
Béjaïa,344,1,28
Tlemcen,321,0,8
Médéa,284,73,19
BordjBouArreridj,247,107,30
OumElBouaghi,246,162,10
Annaba,240,3,10
Tiaret,237,0,22
M'Sila,233,14,29
Djelfa,231,100,11
TiziOuzou,223,37,16
Biskra,198,2,12
Mascara,197,2,12
Khenchela,189,0,5
Boumerdès,186,1,10
Laghouat,184,0,9
Béchar,179,0,3
Skikda,176,3,8
Adrar,164,0,8
ElOued,159,0,23
Bouira,155,15,13
Tébessa,152,100,7
AïnTémouchent,136,0,5
Ghardaïa,131,0,10
Mostaganem,130,60,4
SoukAhras,119,0,7
SidiBelAbbès,117,0,16
Mila,116,0,11
Tissemsilt,102,1,5
Chlef,99,0,3
Jijel,98,17,8
Guelma,92,51,1
Naâma,77,1,1
ElBayadh,75,15,6
Relizane,72,38,3
ElTarf,56,20,1
Tamanrasset,43,0,4
Saïda,32,0,0
Tindouf,16,0,1
Illizi,11,0,0
